# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 31977 3931
p 2 0 881 39 6573 1066
p 2 0 806 114 8139 1023
p 2 0 801 119 8802 1023
p 2 0 770 150 8637 988
p 2 0 761 159 9246 1020
p 2 0 697 223 9074 949
p 2 0 753 167 9009 1003
p 2 0 802 118 9103 1017
p 2 0 721 199 9121 985
p 2 0 781 139 9618 1002
p 2 0 781 139 9056 1030
p 2 0 793 127 9355 1022
p 2 0 718 202 9639 993
p 2 0 735 185 9405 989
p 2 0 761 159 9350 1009
p 2 0 760 160 9401 997
p 2 0 718 202 9517 979
p 2 0 737 183 9569 984
p 2 0 786 134 9386 1028
p 2 0 779 141 9718 1017
p 2 0 795 125 9744 1041
p 2 0 782 138 9525 1035
p 2 0 765 155 9559 1019
p 2 0 835 85 9766 1066
p 2 0 782 138 9230 1039
p 2 0 790 130 9707 1024
p 2 0 772 148 9417 1027
p 2 0 716 204 9504 974
p 2 0 751 169 9534 1016
p 2 0 720 200 9470 990
p 2 0 784 136 9610 1036
p 2 0 765 155 9499 1023
p 2 0 696 224 9189 969
p 2 0 748 172 9130 1007
p 2 0 793 127 9591 1057
p 2 0 721 199 9545 980
p 2 0 765 155 9291 1034
p 2 0 757 163 9832 1015
p 2 0 773 147 9862 1042
p 2 0 802 118 9402 1042
p 2 0 744 176 9962 1025
p 2 0 747 173 9628 1009
p 2 0 771 149 9344 1036
p 2 0 786 134 9900 1037
p 2 0 798 122 9754 1043
p 2 0 719 201 9908 986
p 2 0 760 160 9600 1028
p 2 0 712 208 9973 985
p 2 0 739 181 9760 1016
p 2 0 749 171 9697 1004
p 2 0 834 86 9775 1068
p 2 0 670 250 9936 959
p 2 0 795 125 9756 1046
p 2 0 784 136 9915 1039
p 2 0 742 178 10154 1017
p 2 0 759 161 10041 1016
p 2 0 754 166 9912 1024
p 2 0 736 184 10227 1008
p 2 0 739 181 9965 1009
p 2 0 753 167 10038 1024
p 2 0 833 87 10260 1092
p 2 0 752 168 9985 1019
p 2 0 794 126 9946 1067
p 2 0 789 131 10239 1046
p 2 0 766 154 10088 1043
p 2 0 803 117 9908 1048
p 2 0 806 114 10043 1073
p 2 0 771 149 9949 1030
p 2 0 812 108 9696 1067
p 2 0 745 175 10137 1011
p 2 0 805 115 9663 1059
p 2 0 740 180 10075 1020
p 2 0 783 137 9939 1065
p 2 0 763 157 10147 1025
p 2 0 750 170 10177 1043
p 2 0 770 150 10029 1035
p 2 0 714 206 9906 1014
p 2 0 757 163 10055 1026
p 2 0 748 172 10104 1034
p 2 0 765 155 10205 1037
